hostname,sy_dist,total_planets,st_teff,st_rad,st_mass,potentially_habitable
Kepler-1931,620.091,1,6167.0,1.221,1.174,0
Kepler-1932,713.733,1,5278.0,0.815,0.911,0
Kepler-1933,328.007,1,5661.0,1.008,0.964,0
Kepler-1934,428.514,1,5925.0,1.035,0.968,0
Kepler-1935,904.702,1,5570.0,0.899,0.845,0
Kepler-1936,871.096,1,6501.0,1.854,1.419,0
Kepler-1937,905.069,1,6457.0,1.196,1.19,0
Kepler-1938,421.152,1,4522.0,0.655,0.646,0
Kepler-1939,189.833,1,4353.0,0.603,0.648,0
Kepler-1940,798.595,1,5431.0,0.717,0.802,0
Kepler-1941,1494.39,1,6404.0,1.142,1.175,0
Kepler-1942,842.492,1,5834.0,0.797,0.852,0
Kepler-1943,1004.55,1,6032.0,0.973,1.055,0
Kepler-1944,1076.48,1,5585.0,0.972,1.064,0
Kepler-1945,,1,4991.0,0.804,0.767,0
Kepler-1946,1002.12,1,5505.0,0.873,0.887,0
Kepler-1947,468.771,1,6040.0,1.686,0.984,0
Kepler-1948,193.903,1,3872.0,0.557,0.585,0
Kepler-1949,2617.35,1,6028.0,1.454,1.194,0
Kepler-1950,697.253,1,5455.0,0.852,0.759,0
Kepler-1951,1277.32,1,5468.0,1.306,0.923,0
Kepler-1952,852.062,1,5973.0,1.305,0.922,0
Kepler-1953,605.631,1,4858.0,0.707,0.786,0
Kepler-1954,1373.83,1,5840.0,0.849,0.942,0
Kepler-1955,449.351,1,5825.0,1.291,1.049,0
Kepler-1956,360.468,1,4391.0,0.682,0.671,0
Kepler-1957,460.899,1,4904.0,0.772,0.745,0
Kepler-1958,1320.38,1,5749.0,0.864,0.961,0
Kepler-1959,479.263,1,5071.0,0.811,0.768,0
Kepler-196,451.312,1,5132.0,0.77,0.805,1
Kepler-1960,1527.56,1,6371.0,1.072,1.117,0
Kepler-1961,1042.45,1,5401.0,0.777,0.871,0
Kepler-1962,866.826,1,5700.0,1.006,1.003,0
Kepler-1963,492.847,1,5726.0,0.979,0.915,0
Kepler-1964,,1,4803.0,0.698,0.752,0
Kepler-1965,521.791,1,5852.0,0.837,0.928,0
Kepler-1966,484.601,1,5009.0,0.84,0.797,0
Kepler-1967,249.102,1,4970.0,1.806,0.996,0
Kepler-1968,750.93,1,5008.0,0.788,0.844,0
Kepler-1969,1204.54,1,6046.0,1.007,1.111,0
Kepler-1972,287.339,2,5818.0,1.384,1.12,0
Kepler-1976,1314.51,1,5712.0,1.082,0.976,0
Kepler-1977,592.711,1,4805.0,0.688,0.769,0
Kepler-1978,865.512,1,5251.0,0.778,0.869,0
Kepler-1979,1076.27,1,5942.0,0.938,1.028,0
Kepler-198,495.358,1,5636.0,0.93,0.97,0
Kepler-1980,1709.4,1,5819.0,0.99,1.049,0
Kepler-1981,659.395,1,5874.0,3.006,1.519,0
Kepler-1982,558.855,1,6202.0,1.122,1.213,0
Kepler-1983,424.428,1,5135.0,0.874,0.812,0
Kepler-1984,,1,3638.0,0.42,0.45,0
Kepler-1985,,1,5370.0,0.966,0.877,0
Kepler-1986,912.085,1,5549.0,0.732,0.776,0
Kepler-1987,595.683,4,4769.0,0.714,0.799,0
Kepler-1988,513.426,1,6033.0,1.788,1.127,0
Kepler-1989,1252.13,1,6032.0,1.06,0.999,0
Kepler-1990,392.739,2,5751.0,1.071,1.028,0
Kepler-1991,855.82,2,5478.0,1.053,0.914,0
Kepler-1992,532.955,1,5383.0,0.842,0.874,0
Kepler-1993,1031.91,1,5159.0,3.062,1.373,0
Kepler-1994,241.991,1,5495.0,0.961,0.932,0
Kepler-1995,595.331,1,5029.0,0.93,0.847,0
Kepler-1996,440.561,2,4580.0,0.675,0.748,1
Kepler-1997,1502.34,1,6215.0,1.052,1.111,0
Kepler-1998,340.965,1,5640.0,0.921,0.962,0
Kepler-1999,701.255,1,4406.0,0.628,0.632,0
