pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,pl_insol,pl_orbsmax,pl_dens,st_teff,st_rad,st_mass,sy_dist,sy_pnum,sy_snum
Kepler-1667 b,Kepler-1667,Transit,2020,83.5781,2.98385261,9.19,655.0,9.3,0.35905,1.9,5941.54,1.08751,1.09,626.819,1,1
Kepler-1984 b,Kepler-1984,Transit,2023,1.992812339,6.81,37.3,675.0,48.82,0.0238,0.649,3638.0,0.42,0.45,,1,1
TOI-813 b,TOI-813,Transit,2020,83.8911,6.71,36.4,610.0,23.1,0.423,0.662,5907.0,1.94,1.32,263.145,1,1
Kepler-1663 b,Kepler-1663,Transit,2020,17.6046,3.30395896,10.9,362.0,4.07,0.1072,1.66,3844.0,0.62859,0.610816,337.926,1,1
Kepler-1666 c,Kepler-1666,Transit,2020,40.7157,3.23564749,10.5,578.0,26.34,0.2383,1.7,6293.0,1.14586,1.23,1379.37,2,1
Kepler-2001 b,Kepler-2001,Transit,2023,1.090011003,1.04,1.12,1402.0,911.28,0.0197,5.47,5081.0,0.77,0.864,776.55,2,1
HD 164922 c,HD 164922,Radial Velocity,2016,75.74,3.66,13.0,400.5,6.29,0.341,1.46,5390.0,0.946,0.926,22.0016,4,1
Kepler-1678 b,Kepler-1678,Transit,2020,147.974,3.30422249,10.9,329.0,2.78,0.5302,1.66,5754.0,0.834976,1.03,847.339,1,1
Kepler-1085 c,Kepler-1085,Transit,2020,56.7771,3.26817741,10.7,491.0,11.8,0.29798,1.68,5816.0,1.0783,1.05,1364.53,2,1
Kepler-1126 c,Kepler-1126,Transit,2023,199.66876,1.45,2.7,305.0,2.06,0.6193,4.87,5678.0,0.921,0.794,635.736,2,1
EPIC 249893012 b,EPIC 249893012,Transit,2020,3.5951,1.95,8.75,1616.0,1037.0,0.047,6.39,5430.0,1.71,1.05,321.296,3,1
WASP-150 b,WASP-150,Transit,2020,5.644207,11.99363,2688.8418,1460.0,854.7074,0.0694,8.54,6218.0,1.651,1.394,527.995,1,1
Kepler-1676 b,Kepler-1676,Transit,2020,29.9221,3.3769596,11.3,782.0,33.45,0.1954,1.61,5878.3,1.06066,1.07,,1,1
Kepler-1677 b,Kepler-1677,Transit,2020,22.064,2.70216183,7.76,712.0,59.4,0.1599,2.16,6013.72,1.24959,1.11,735.369,1,1
Kepler-1052 c,Kepler-1052,Transit,2023,180.921729,2.3,5.9,302.0,1.96,0.6135,2.66,5818.0,0.848,0.937,943.444,2,1
EPIC 249893012 c,EPIC 249893012,Transit,2020,15.624,3.67,14.67,990.0,160.0,0.13,1.62,5430.0,1.71,1.05,321.296,3,1
EPIC 249893012 d,EPIC 249893012,Transit,2020,35.747,3.94,10.18,752.0,53.0,0.22,0.91,5430.0,1.71,1.05,321.296,3,1
Kepler-1673 b,Kepler-1673,Transit,2020,33.7888,2.9355194,8.93,611.0,30.5,0.21363,1.94,6014.95,1.13166,1.11,727.187,1,1
Kepler-1682 b,Kepler-1682,Transit,2020,14.8334,2.88940836,8.7,694.0,54.74,0.1134,1.98,5619.12,0.842301,0.99,1159.85,1,1
Kepler-1491 c,Kepler-1491,Transit,2023,61.569765,2.44,6.53,530.0,18.66,0.3045,2.47,5626.0,1.389,0.991,2065.59,2,1
TOI-1468 b,TOI-1468,Transit,2022,1.8805201,1.401,3.04,683.5,36.4,0.02107,6.1,3376.0,0.3714,0.3527,24.7399,2,1
TOI-913 b,TOI-913,Transit,2023,11.098644,2.4528,6.59,712.01,35.2422,,2.45,4969.0,0.7325,0.82,65.1769,1,1
TOI-6894 b,TOI-6894,Transit,2025,3.37077196,9.5836785,53.39517238,417.9,5.54,0.02604,0.334,3007.0,0.2276,0.207,73.8131,1,1
TOI-244 b,TOI-244,Transit,2023,7.397225,1.52,2.68,458.0,7.3,0.0559,4.2,3433.0,0.426,0.428,22.0337,1,1
Kepler-1518 c,Kepler-1518,Transit,2023,9.6310258,2.9,8.75,1094.0,338.33,0.0905,1.97,6432.0,1.345,1.06,903.51,2,1
Kepler-347 d,Kepler-347,Transit,2023,85.517344,3.04,9.48,482.0,12.75,0.3802,1.85,5592.0,1.451,1.0,1298.88,3,1
Kepler-549 d,Kepler-549,Transit,2023,24.61480613,4.2,16.4,586.0,27.93,0.1575,1.22,5312.0,0.986,0.859,635.145,3,1
TOI-2207 b,TOI-2207,Transit,2022,8.001968,11.1529358,203.41018048,1259.0,406.0,0.0854,0.8,6101.0,1.564,1.296,373.345,1,1
TOI-2969 b,TOI-2969,Transit,2025,1.8237146,12.32987877,368.68095212,1186.0,382.0,0.0261,1.1,4738.0,0.7,0.71,163.996,1,1
Kepler-763 c,Kepler-763,Transit,2023,4.09667624,1.42,2.6,938.0,182.9,0.0466,4.99,4999.0,0.843,0.8,962.459,3,1
Kepler-1999 b,Kepler-1999,Transit,2023,8.7396758,3.29,10.8,577.0,26.17,0.0713,1.67,4406.0,0.628,0.632,701.255,1,1
Kepler-58 e,Kepler-58,Transit,2023,4.45814897,1.61,597.796,1212.0,511.6,0.0533,131.0,6100.0,1.083,1.017,969.252,4,1
